Date,Driver,Age,Team,Circuit,PitStopTime,ReactionTime,FinalPosition,DNF,Points,MaxSpeed,Overtakes,Experience,DriverSkill,CarPerformance,TrackFamiliarity,WeatherCondition,TyreCompound,EngineMode,QualifyingPosition,TyreWear,FuelConsumption,DownforceLevel
2019-09-07,Norris,29,McLaren,Interlagos,3.15,0.5137294351810837,20.0,1,0,315.1,5.5359432828784945,2,50.359432828784946,94.26767705493171,2.533238630792307,Wet,Hard,9.52914254102243,9.0,23.94448932890775,1.7397279900994504,979.7999345082403
2020-12-08,Ricciardo,31,Red Bull,Silverstone,3.172,0.43948554940179424,20.0,1,0,316.1,10.342882383601978,15,78.42882383601977,91.08051451613203,1.3840913059350046,Dry,Soft,5.515429721119052,9.0,94.48298971805994,1.6117021477147888,995.9592775087189
2010-02-03,Sainz,35,Ferrari,Suzuka,3.304,0.4724848576036475,20.0,1,0,340.4,8.69584794220925,12,61.958479422092495,91.10917799672585,5.279658587017909,Wet,Hard,4.827427329315873,9.0,55.337698804296686,1.6659984365241578,879.9125376692392
2020-03-25,Ricciardo,35,Ferrari,Monaco,3.2,0.47355567179440294,20.0,1,0,325.9,9.543558409976058,14,80.43558409976058,92.66897543562348,1.317336173910748,Mixed,Soft,4.812366039545337,9.0,90.57958590942329,1.688733963343446,972.5220649095372
2014-04-01,Ricciardo,23,Williams,Spa,3.144,0.437896598564082,4.0,0,12,333.6,10.158676646885294,9,71.58676646885294,90.71541028395595,7.927207170722382,Dry,Soft,4.366496467037677,10.0,83.55947948800042,1.6799654462454845,960.1992583533352
2019-05-22,Alonso,30,Alpine,Melbourne,2.669,0.46138770375296023,4.0,0,12,334.0,9.019267826850626,11,65.19267826850627,96.19755659728979,1.5962256722253687,Mixed,Soft,9.78029927724235,9.0,60.224266906466156,1.9695824476001207,942.8366755444122
2017-06-21,Vettel,29,Haas,Spa,3.159,0.4579645118943993,2.0,0,18,335.5,11.759549192371498,19,77.59549192371497,97.32047453941344,1.7149434701432509,Mixed,Hard,9.990776437223154,8.0,41.73177266071376,2.0019354066793253,892.5798764296974
2012-04-02,Vettel,28,Haas,Interlagos,3.55,0.45509876310678266,20.0,1,0,354.8,6.838502928363202,14,73.38502928363202,85.59479550740656,7.166084530225456,Mixed,Soft,9.491406188707101,11.0,98.18497807481094,1.9014599038683777,859.335215492533
2012-02-29,Sainz,32,Alpine,Monaco,2.738,0.4916701990535119,4.0,0,12,341.6,7.284807459745618,6,57.84807459745618,87.23255510490172,8.83966273947998,Mixed,Medium,5.634390303131476,9.0,63.94269318383394,1.7011390008933944,900.6238703379545
2023-04-04,Sainz,37,Alfa Romeo,Singapore,2.907,0.42879824313841175,20.0,1,0,330.8,12.253380314900996,17,92.53380314900996,99.76412251553649,3.16547524705987,Wet,Medium,1.593269830841122,6.0,52.176110987750334,1.4582327907788686,937.162680947418
2017-02-19,Bottas,31,Aston Martin,Suzuka,3.25,0.489948138633585,20.0,1,0,324.9,7.702670840524762,3,57.02670840524762,87.85647284854906,3.4015013891056722,Wet,Medium,4.077473354144935,10.0,63.710859241972884,1.570597019197119,935.8861088226638
2010-10-20,Vettel,36,Alfa Romeo,Suzuka,2.704,0.5366676490994418,5.0,0,10,320.6,8.877123972203767,5,58.77123972203768,85.50916814096522,4.565626075583564,Mixed,Hard,1.205084013180148,10.0,51.864361490704454,1.3359888427805768,950.7997555527304
2018-09-04,Leclerc,30,Red Bull,Abu Dhabi,2.839,0.4997991465852801,20.0,1,0,331.8,6.267109618644005,1,52.67109618644005,87.54300362977399,5.959775025554231,Wet,Medium,6.4523297685501975,10.0,72.19955965090485,1.7526193206220386,973.3546643784558
2012-08-02,Perez,36,Red Bull,Silverstone,2.588,0.4692281149436756,4.0,0,12,321.3,10.047453242944849,19,80.47453242944849,98.6231234459605,1.634972465713922,Mixed,Medium,7.345341588630504,8.0,44.88225172426843,1.7220474891467215,950.3080432931231
2019-10-25,Alonso,36,Red Bull,Abu Dhabi,3.29,0.4766253079543101,4.0,0,12,325.0,8.115413083660595,5,66.15413083660594,80.00429427993782,1.072840136196277,Mixed,Soft,3.6871932472597426,9.0,63.207251878249956,1.5415551151539877,942.9789198397285
2016-02-07,Sainz,18,AlphaTauri,Abu Dhabi,3.51,0.4189646924287296,2.0,0,18,337.7,11.256887748003448,16,82.56887748003449,87.3918339766075,4.7607515602883455,Dry,Medium,3.365550798415687,8.0,59.642917653622575,1.566305356875977,925.2588280907297
2017-08-07,Vettel,28,Williams,Montreal,2.816,0.4859455623754393,2.0,0,18,325.6,13.136876297467532,6,61.36876297467532,97.47795493013021,4.822770456727145,Dry,Hard,1.6852536642682705,10.0,32.56534963500878,1.517646608087187,980.8144290425832
2011-04-03,Vettel,36,Alfa Romeo,Melbourne,3.217,0.506916017745065,8.0,0,4,323.6,6.444742247565211,10,64.4474224756521,97.76107012977263,5.550452185684797,Dry,Medium,6.560386693619604,10.0,40.47742793857487,1.7645372227882279,950.5097934237139
2015-05-18,Hamilton,19,AlphaTauri,Melbourne,3.066,0.4543572630643427,2.0,0,18,334.9,13.164690080237147,16,81.64690080237148,80.67182808123391,2.310778066906635,Dry,Medium,3.537326450070061,8.0,69.18229053498881,1.6298303660063493,943.518982916581
2021-01-28,Perez,21,Mercedes,Spa,3.373,0.4590404493290929,5.0,0,10,327.4,8.564847331988625,9,65.64847331988625,98.15025557536666,2.4824610359325128,Dry,Soft,2.3530952858680187,10.0,88.97774356228439,1.5402590602758743,938.4560971941352
2010-03-13,Verstappen,19,Haas,Singapore,2.876,0.4073722080635137,20.0,1,0,344.9,10.318758704053973,14,78.18758704053974,86.2371229238579,1.9608513957181162,Wet,Medium,3.454516169167517,7.0,65.89701985246323,1.6732492266938332,881.5823519708574
2023-01-07,Ricciardo,25,Alpine,Interlagos,2.911,0.42211796886559716,3.0,0,15,328.2,11.030284870986216,17,95.30284870986216,91.17603891225181,5.27887228876621,Mixed,Soft,3.2729303130669787,9.0,81.68058255237338,1.51138445293557,953.6124628348681
2019-07-20,Perez,24,Williams,Montreal,3.072,0.5009778234044256,20.0,1,0,318.6,8.48200133612275,7,59.82001336122749,92.26919916855674,7.689382389991195,Mixed,Soft,5.21531897730523,7.0,98.08956181197837,1.6248314611122423,940.8006307728365
2015-12-18,Norris,32,Aston Martin,Interlagos,3.08,0.4745187666386489,20.0,1,0,319.7,7.333440872632494,10,68.33440872632494,87.9756660739666,4.827458100542586,Dry,Soft,8.208603553066277,9.0,95.60813537900745,1.7033101476057033,956.1933531664491
2019-07-05,Norris,32,Mercedes,Silverstone,4.278,0.4485136075112278,20.0,1,0,333.7,9.054374419232037,13,75.54374419232037,87.63668113660937,3.884576149631883,Wet,Soft,2.1252912013000045,11.0,96.59639816836749,1.4964720900828534,945.8328646032943
2016-11-11,Bottas,37,Mercedes,Silverstone,3.2,0.5097940114336916,9.0,0,2,348.6,5.911995778572878,2,49.119957785728786,94.62503971667344,4.324634788021051,Dry,Medium,5.009233804691601,12.0,62.91113917563561,1.7685422579526855,910.826714776089
2014-12-29,Bottas,29,AlphaTauri,Suzuka,2.594,0.45928792767333354,6.0,0,8,329.6,8.565467941087668,9,65.65467941087668,92.97354742332391,4.186362039226683,Dry,Hard,5.769456896743821,10.0,44.98279472009296,1.7228527537533107,933.2181720412226
2022-07-05,Ricciardo,29,McLaren,Monza,2.758,0.5101527130677341,9.0,0,2,330.1,5.006404485256903,1,45.06404485256903,86.53716645053316,7.86028984368123,Mixed,Medium,7.983493472138818,11.0,71.61230168831166,1.7551078531200544,955.5044753175514
2018-01-24,Sainz,31,Alpine,Monza,2.596,0.5180805372693634,9.0,0,2,338.4,6.754626840352861,2,47.54626840352861,85.6179531895005,7.899284511459669,Mixed,Medium,2.495318504272905,12.0,79.30824593875967,1.5462343871465503,919.9811403617196
2021-02-19,Norris,27,Ferrari,Singapore,2.588,0.43214056809041135,1.0,0,25,315.6,11.441420482852193,13,79.41420482852193,98.49406140279872,6.001840441235648,Dry,Soft,1.6638102905519627,7.0,81.9592236079589,1.357770913385214,958.1776234093063
2015-12-03,Perez,27,Red Bull,Abu Dhabi,2.607,0.45180500034556326,3.0,0,15,321.8,10.799761688324647,16,82.99761688324647,90.81400870077951,3.998142405293078,Mixed,Soft,5.028070039966302,9.0,87.30810581910185,1.6203275985316927,951.2237911002978
2020-11-24,Vettel,19,Mercedes,Singapore,3.124,0.44041559533154945,4.0,0,12,321.0,11.684489306956502,9,76.84489306956502,90.19300855130417,9.350045375132604,Dry,Hard,8.561582377607678,10.0,21.379005075113607,1.8128216854508568,936.1194758687492
2022-08-18,Ricciardo,31,Ferrari,Monaco,2.96,0.4288498231272408,3.0,0,15,346.3,9.432932723670643,12,84.32932723670642,95.48964428247143,2.682940368792006,Dry,Medium,2.5810701947759496,10.0,67.53575628509243,1.6133079750014756,897.2797741552325
2014-09-22,Vettel,22,Williams,Silverstone,2.616,0.39653642649606224,5.0,0,10,338.3,9.49228746885478,19,79.92287468854781,84.96046338219499,5.081406503661613,Mixed,Medium,5.179894842211337,9.0,45.47787482959788,1.6841625145181238,919.7293759122355
2011-06-29,Alonso,23,AlphaTauri,Abu Dhabi,3.598,0.42545364255746115,20.0,1,0,318.3,10.670354069493758,19,91.70354069493757,98.70055125816704,0.27720947596178824,Wet,Hard,4.093185332675089,7.0,24.20691418874613,1.6019861562474316,975.1248126676778
2016-12-06,Bottas,27,McLaren,Spa,2.783,0.48013433702412034,20.0,1,0,343.7,6.1095943297495925,2,61.09594329749593,92.50329048947239,2.1560855051004824,Wet,Soft,1.1747080422295109,10.0,69.72401882663823,1.4671976237084083,927.907672494394
2019-11-09,Sainz,30,Aston Martin,Abu Dhabi,2.972,0.42364960917614025,2.0,0,18,340.1,10.321111163564671,12,73.21111163564672,86.10154017505312,7.518495932642864,Mixed,Medium,7.3020685920165755,8.0,67.17684437228962,1.744092387088336,903.7664962198041
2016-06-22,Alonso,20,Alpine,Monaco,3.759,0.4970490020446042,20.0,1,0,342.3,9.4245855862877,1,54.245855862877,81.82968388653545,4.012997826316438,Wet,Medium,8.127787637556368,10.0,40.73626914094071,1.901334109832478,911.5188184651192
2010-12-06,Leclerc,36,Mercedes,Spa,3.187,0.4701931250145846,4.0,0,12,310.9,10.51442964346564,12,75.1442964346564,88.77004255701992,3.6089143123697474,Dry,Hard,7.452159853197411,8.0,29.01159938477501,1.6263019591252577,1008.2016347391481
2011-01-08,Norris,23,Haas,Abu Dhabi,2.319,0.4520083238137833,5.0,0,10,319.9,7.951847733556117,7,69.51847733556117,85.69467397282578,5.474401721857834,Mixed,Hard,3.062723933763476,8.0,24.33345863160254,1.5682296837207677,964.8617387492246
2018-04-03,Norris,27,Mercedes,Montreal,3.277,0.4709313529045851,4.0,0,12,331.2,9.563331552953887,11,70.63331552953888,93.05086018404556,4.731133124185227,Dry,Medium,3.396024676567924,9.0,55.83784413696489,1.628572618985725,942.2078522223978
2020-01-01,Norris,24,Mercedes,Spa,3.476,0.4901476223211871,20.0,1,0,320.8,7.037823082774447,10,65.37823082774447,96.95254658664254,8.660806646763389,Wet,Soft,3.40535528846173,9.0,75.5408016827067,1.5658524362821336,987.1067832067914
2016-07-06,Verstappen,33,Ferrari,Abu Dhabi,2.476,0.4403420077226794,5.0,0,10,332.1,11.565992206842221,15,80.65992206842222,80.29079185480761,6.890281362690559,Mixed,Soft,7.343656728613824,11.0,88.23484584431623,1.8088016733818204,948.2483036673071
2018-11-01,Perez,29,Haas,Spa,3.821,0.46533319167899573,7.0,0,6,324.7,7.630782756205347,1,56.307827562053475,95.97041088550657,4.3508034770406585,Mixed,Medium,7.40170976881557,10.0,43.989013898440156,1.6889046452647527,927.0096669342022
2015-09-01,Verstappen,28,Alfa Romeo,Montreal,2.807,0.45458031112310415,20.0,1,0,321.5,7.657336890300985,9,61.57336890300985,89.89219213114919,3.657767008305337,Mixed,Soft,1.6352851345389572,9.0,98.33476585486537,1.4571237927761571,934.5893416589822
2013-02-13,Vettel,21,Ferrari,Spa,2.46,0.4250316538280443,20.0,1,0,330.6,10.705447276851553,11,77.05447276851552,91.2751187330387,2.5750781298256276,Mixed,Soft,2.283495397363901,8.0,92.0967896621533,1.522873003305467,923.0130876373042
2023-02-19,Sainz,26,Williams,Melbourne,2.78,0.45173554197647015,2.0,0,18,315.4,11.805114734108113,7,73.05114734108112,98.02923318761361,3.3621868264644696,Dry,Soft,1.1223275349565576,9.0,74.84129541971114,1.3125384911412308,955.9526526375869
2018-02-03,Hamilton,27,Aston Martin,Singapore,2.881,0.47146560575576973,6.0,0,8,332.9,9.551230515475147,13,65.51230515475147,81.2617249384199,1.9054074581784897,Mixed,Medium,5.1885271630623535,10.0,52.189757714783724,1.7357289863852219,918.2589764092548
2013-09-08,Verstappen,33,Red Bull,Melbourne,2.658,0.44293423608601845,5.0,0,10,328.6,9.575648366413823,17,75.75648366413823,89.30226824933897,2.0276784010245996,Dry,Soft,6.371126221632832,10.0,67.48646921924131,1.6884744971627976,951.5218156514068
2014-02-22,Perez,30,Williams,Spa,3.006,0.45700471758965566,4.0,0,12,322.1,10.186456158736139,8,61.86456158736138,85.90067831197703,3.015376597432388,Mixed,Medium,8.40059407891658,10.0,58.68093455440387,1.843753885861193,943.5098858782472
2019-06-29,Perez,26,Ferrari,Spa,3.874,0.46578132647335596,20.0,1,0,338.6,6.758614140121736,8,67.58614140121736,83.57623977558077,2.706794824234058,Wet,Soft,4.5116348299010856,10.0,91.7631523568035,1.7451393708494336,908.9953864478013
2023-04-01,Norris,26,Williams,Abu Dhabi,3.04,0.4703094314184218,20.0,1,0,324.5,10.657964355590071,15,76.5796435559007,81.83925802201867,2.639110545311083,Wet,Hard,5.642489515517855,10.0,38.941500592245056,1.7310170051940017,939.5262415703362
2014-11-05,Norris,27,McLaren,Melbourne,3.218,0.4636836368534264,7.0,0,6,323.5,7.3134755905966635,5,63.134755905966635,97.67046360989728,7.158450660590896,Mixed,Soft,6.068785597034231,10.0,79.31130971404671,1.7245869162991008,986.0255198698686
2017-03-13,Bottas,13,Ferrari,Singapore,3.141,0.4939953119728764,20.0,1,0,349.9,4.715894041100597,4,52.15894041100597,84.6636752267198,1.0340572797257852,Wet,Medium,4.46687644644733,13.0,70.04932583537112,1.8290572540627101,891.0637815234235
2014-07-06,Perez,18,Ferrari,Interlagos,2.986,0.4806758153471001,20.0,1,0,328.1,7.347589596619457,3,63.47589596619457,97.39625815329656,2.6106282459050156,Wet,Hard,3.8927674733705704,10.0,38.692753528161795,1.6987178879642444,946.9845719691068
2014-04-03,Alonso,28,McLaren,Montreal,3.001,0.4554605474213368,4.0,0,12,332.0,10.725383763472406,18,82.25383763472406,85.52430876097125,8.911348949368005,Dry,Soft,9.723820774672879,9.0,86.65721291060274,1.794390319180657,983.1613371309573
2017-01-22,Sainz,20,Ferrari,Suzuka,3.189,0.44325939324406666,4.0,0,12,323.8,9.879748594926053,6,63.797485949260526,85.91685915834249,0.07969369345179445,Mixed,Medium,7.993630725149129,9.0,62.29209117672772,1.787071034356695,929.3472529997335
2010-03-02,Ricciardo,30,McLaren,Monaco,3.03,0.46841493661907296,20.0,1,0,327.9,8.880225538706377,10,68.80225538706377,82.3489162311933,2.2747763827913725,Wet,Soft,3.6391115736122885,8.0,77.18171219428858,1.6608046400117764,963.4490268341586
2010-07-13,Alonso,26,Red Bull,Melbourne,3.129,0.4785002270105059,20.0,1,0,325.1,8.8077476200594,2,63.077476200594,93.52009018837248,1.183333466378188,Wet,Soft,6.602937680011611,9.0,60.246649889891046,1.8307853064359851,958.1338371790624
2012-04-03,Sainz,29,Mercedes,Monaco,2.701,0.5244996929307983,20.0,1,0,310.6,6.190038228544168,1,41.90038228544168,86.9421461508175,8.38106897533422,Wet,Hard,1.5431160213104431,12.0,25.554408144783824,1.4138110646505835,963.1123141992547
2010-09-17,Alonso,23,Alfa Romeo,Montreal,3.453,0.4210662558305754,3.0,0,15,324.9,12.83075633268049,16,83.3075633268049,82.23680105331574,5.741596274109176,Dry,Hard,3.3076627953473707,9.0,53.452817902253315,1.5480421812680973,938.4406898508583
2013-12-06,Alonso,22,Aston Martin,Abu Dhabi,3.25,0.4266007360727405,5.0,0,10,325.9,9.175287577932112,14,81.75287577932112,93.09860457129557,6.449311248624362,Dry,Soft,8.890127842965736,8.0,78.9975096209765,1.7188392049089853,948.3270178128924
2022-02-22,Perez,24,Haas,Spa,2.195,0.3957651906824952,1.0,0,25,299.9,12.894865720677902,17,88.94865720677903,98.5791679540117,7.097608522595613,Mixed,Hard,8.846378482879622,6.0,27.78911816217906,1.6381714047378972,1018.1806738687412
2014-09-07,Hamilton,18,McLaren,Spa,3.054,0.41943886503881234,20.0,1,0,314.1,11.121097217794434,7,61.21097217794434,92.95559471914275,0.9388432131334701,Wet,Hard,9.452121453596485,10.0,40.24540320704825,1.783809673871962,939.6047385883387
2012-04-17,Verstappen,30,Ferrari,Suzuka,2.378,0.48099336149503336,6.0,0,8,326.8,9.024066491594857,3,60.24066491594857,92.45657205076787,6.708758956890129,Mixed,Medium,5.645890547539228,10.0,49.48682359999318,1.6638103582743302,941.3140219953236
2020-04-20,Alonso,27,McLaren,Silverstone,3.33,0.5037908646742185,5.0,0,10,325.8,9.141028656078108,4,51.41028656078108,91.29017473613018,7.58369223983925,Mixed,Hard,9.991565393366495,10.0,20.65157259199294,1.8173194495020482,928.3472524407474
2011-01-18,Hamilton,26,McLaren,Interlagos,2.69,0.4797049462040037,20.0,1,0,337.6,9.99246938490766,2,54.92469384907659,99.10836395332063,0.5985218683126703,Wet,Medium,3.4756558045957684,11.0,50.660068963888435,1.6911518269573496,939.6392500635524
2017-06-13,Leclerc,26,Red Bull,Melbourne,2.511,0.4283344852977378,1.0,0,25,314.0,12.915998808656298,16,79.15998808656298,86.33921969389672,9.961511990964464,Dry,Medium,5.026521502237932,8.0,69.53084765615,1.5533563670614219,955.3467749820982
2016-05-26,Alonso,29,Red Bull,Montreal,3.342,0.4357042709713349,2.0,0,18,319.3,13.958109581388435,19,89.58109581388435,85.15451258821675,4.366753801123609,Mixed,Hard,5.818007420180802,8.0,54.49292047165228,1.5958677683936555,951.0624788042637
2020-02-22,Verstappen,20,McLaren,Montreal,2.175,0.48814367994174473,20.0,1,0,319.1,7.886519596399937,10,63.865195963999376,89.02304643141048,7.757368180426917,Wet,Hard,7.141148303846629,9.0,22.085946425045087,1.6930759832710875,958.3384065881057
2014-04-25,Bottas,21,Ferrari,Montreal,3.097,0.4506508285757276,5.0,0,10,342.2,7.6371977706412135,9,71.37197770641214,99.36495088279709,1.7517307745343702,Dry,Hard,7.507030887958261,9.0,56.04360645433793,1.8637867571336209,900.5317276169651
2013-06-13,Sainz,36,Williams,Abu Dhabi,3.188,0.4757632216272438,2.0,0,18,353.0,12.215619585658388,8,72.15619585658388,98.61207726124914,8.216875037244879,Mixed,Soft,8.175664900031316,8.0,63.208261434144724,1.9745965503579663,898.4858622318586
